record_id,standard_acronym,project_public_id,project_name,country_standard,project_type,project_status,geometry_type,project_url,redd_redd_plus_classification,redd_redd_plus_basis,wkt,original_wkt,coordinate_fix_applied
VCS_1133_2026-04-01,VCS,1133,Yacumama Forest Carbon Project,Peru,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1133,REDD/REDD+,project_subcategories: REDD,POINT (-73.409591000000006 -4.60025),,
VCS_1168_2026-04-01,VCS,1168,"Kulera Landscape REDD+ Program for Co-Managed Protected Areas, Malawi",Malawi,Agriculture Forestry and Other Land Use,Late to verify,Point,https://registry.verra.org/app/projectDetail/VCS/1168,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (33.938948000000003 -12.917289),,
VCS_1175_2026-04-01,VCS,1175,"AVOIDING PLANNED DEFORESTATION AND DEGRADATION IN THE VALDIVIAN COASTAL RESERVE, CHILE",Chile,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1175,REDD/REDD+,project_subcategories: REDD,POINT (-73.709187 -40.202382),,
VCS_1201_2026-04-01,VCS,1201,Gola REDD project,Sierra Leone,Agriculture Forestry and Other Land Use,Verification approval requested,Point,https://registry.verra.org/app/projectDetail/VCS/1201,REDD/REDD+,project_name: REDD; project_description: REDD; project_subcategories: REDD,POINT (-11.020161 7.606174),,
VCS_1202_2026-04-01,VCS,1202,LOWER ZAMBEZI REDD+ PROJECT,Zambia,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1202,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (29.296648000000001 -15.494631),,
VCS_1215_2026-04-01,VCS,1215,The Makira Forest Protected Area in Madagascar,Madagascar,Agriculture Forestry and Other Land Use,Late to verify,Point,https://registry.verra.org/app/projectDetail/VCS/1215,REDD/REDD+,project_description: REDD+; project_subcategories: REDD,POINT (49.538719 -15.179273),,
VCS_1218_2026-04-01,VCS,1218,"Evio Kuiñaji Ese´Eja Cuana, To Mitigate Climate Change, Madre de Dios - Perú",Peru,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1218,REDD/REDD+,project_subcategories: REDD,POINT (-69.214939000000001 -12.687075),,
VCS_1285_2026-04-01,VCS,1285,New Leaf Carbon Project,Australia,Agriculture Forestry and Other Land Use,Late to verify,Point,https://registry.verra.org/app/projectDetail/VCS/1285,REDD/REDD+,project_subcategories: REDD,POINT (147.688328000000013 -42.713391000000001),,
VCS_1311_2026-04-01,VCS,1311,"Carbon Emissions Reduction Project in the Corridor Ankeniheny-Zahamena (CAZ) Protected Area, Madagascar",Madagascar,Agriculture Forestry and Other Land Use,Late to verify,Point,https://registry.verra.org/app/projectDetail/VCS/1311,REDD/REDD+,project_subcategories: REDD,POINT (48.846282000000002 -17.76201),,
VCS_1325_2026-04-01,VCS,1325,Village Climate Solutions,"Tanzania, United Republic of",Agriculture Forestry and Other Land Use,Verification approval requested,Point,https://registry.verra.org/app/projectDetail/VCS/1325,REDD/REDD+,project_subcategories: REDD,POINT (39.458677000000002 -9.939811000000001),,
VCS_1326_2026-04-01,VCS,1326,Laguna Seca Forest Carbon Project,Belize,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1326,REDD/REDD+,project_subcategories: REDD,POINT (-89.051749000000001 17.571013000000001),,
VCS_1329_2026-04-01,VCS,1329,Maísa REDD+ Project,Brazil,Agriculture Forestry and Other Land Use,Inactive,Point,https://registry.verra.org/app/projectDetail/VCS/1329,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (-49.336863000000001 -3.23083),,
VCS_1340_2026-04-01,VCS,1340,Bale Mountains Eco-region REDD+ project,Ethiopia,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1340,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (40.003875000000001 6.62225),,
VCS_1359_2026-04-01,VCS,1359,Isangi REDD+ Project,"Congo, The Democratic Republic of the",Agriculture Forestry and Other Land Use,Withdrawn,Point,https://registry.verra.org/app/projectDetail/VCS/1359,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (23.838165 0.075068),,
VCS_1360_2026-04-01,VCS,1360,Forest Management to reduce deforestation and degradation in Shipibo Conibo and Cacataibo Indigenous communities of Ucayali region,Peru,Agriculture Forestry and Other Land Use,Verification approval request denied,Point,https://registry.verra.org/app/projectDetail/VCS/1360,REDD/REDD+,project_subcategories: REDD,POINT (-74.387325000000004 -9.20195),,
VCS_1381_2026-04-01,VCS,1381,HIMA (Hifadhi ya Misitu ya Asili ya jamii) REDD+ Program,"Tanzania, United Republic of",Agriculture Forestry and Other Land Use,Under development,Point,https://registry.verra.org/app/projectDetail/VCS/1381,REDD/REDD+,project_name: REDD+; project_subcategories: REDD,POINT (39.317 -6.133),,
VCS_1382_2026-04-01,VCS,1382,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",Brazil,Agriculture Forestry and Other Land Use,Verification approval requested,Point,https://registry.verra.org/app/projectDetail/VCS/1382,REDD/REDD+,project_description: REDD+; project_subcategories: REDD,POINT (-70.177176000000003 -8.847445),,
VCS_1384_2026-04-01,VCS,1384,Reduced Emissions from Avoided Deforestation in the Multiple Use Zone of the Maya Biosphere Reserve in Guatemala (GuateCarbon),Guatemala,Agriculture Forestry and Other Land Use,Late to verify,Point,https://registry.verra.org/app/projectDetail/VCS/1384,REDD/REDD+,project_name: avoided deforestation; project_description: REDD+; project_subcategories: REDD,POINT (-89.631290000000007 17.209557),,
VCS_1389_2026-04-01,VCS,1389,Acapa -­ Bajo Mira Y Frontera REDD+ Project,Colombia,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1389,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (-78.892797000000002 1.6428),,
VCS_1390_2026-04-01,VCS,1390,Carmen del Darién (CDD) REDD+ Project,Colombia,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1390,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (-77.126078000000007 6.87222),,
VCS_1391_2026-04-01,VCS,1391,SIVIRÚ-USARAGÁ-PIZARRO-PILIZÁ (SUPP) REDD+ Project,Colombia,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1391,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (-77.359746000000001 4.915528),,
VCS_1392_2026-04-01,VCS,1392,Cajambre REDD+ Project,Colombia,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1392,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (-77.128245000000007 3.292599),,
VCS_1395_2026-04-01,VCS,1395,Bajo Calima y Bahía Málaga (BCBM) REDD+ Project,Colombia,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1395,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (-77.159722000000002 4.005277),,
VCS_1396_2026-04-01,VCS,1396,Rio Pepe y ACABA REDD+ Project,Colombia,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1396,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (-76.933610000000002 5.117181),,
VCS_1398_2026-04-01,VCS,1398,Reducing Emissions from Deforestation and Carbon Enhancement in Xe Pian National Protected Area,Lao People's Democratic Republic,Agriculture Forestry and Other Land Use,Late to verify,Point,https://registry.verra.org/app/projectDetail/VCS/1398,REDD/REDD+,project_subcategories: REDD,POINT (106.153401000000002 14.385716),,
VCS_1399_2026-04-01,VCS,1399,Mutatá REDD+ Project,Colombia,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1399,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (-76.487774000000002 7.298886),,
VCS_1400_2026-04-01,VCS,1400,Concosta REDD+ Project,Colombia,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1400,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (-77.221666999999997 4.704722),,
VCS_1403_2026-04-01,VCS,1403,"The Paraguay Forest Conservation Project – Reduction of GHG Emissions from Deforestation and Forest Degradation in the Parana Atlantic Ecosystem – Forest Protection in the La Amistad Community, San Rafael",Paraguay,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1403,REDD/REDD+,project_subcategories: REDD,POINT (-55.971380000000003 -26.923259000000002),,
VCS_1408_2026-04-01,VCS,1408,Chyulu Hills REDD+ Project,Kenya,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1408,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (37.687992000000001 -2.806913),,
VCS_1455_2026-04-01,VCS,1455,Reduction of the deforestation and degradation of tropical dry forests in Piura and Lambayeque,Peru,Agriculture Forestry and Other Land Use,Registration requested,Point,https://registry.verra.org/app/projectDetail/VCS/1455,REDD/REDD+,project_subcategories: REDD,POINT (-79.739570000000001 -5.857984),,
VCS_1498_2026-04-01,VCS,1498,Preserving Peat Swamp Forest Ecosystem Through Redd+ Activity In Kampar Peninsula Riau-Indonesia,Indonesia,Agriculture Forestry and Other Land Use,Under validation,Point,https://registry.verra.org/app/projectDetail/VCS/1498,REDD/REDD+,project_name: REDD+; project_description: REDD; project_subcategories: REDD,POINT (102.496048999999999 0.681619),,
VCS_1503_2026-04-01,VCS,1503,RESEX Rio Preto-Jacundá REDD+ Project,Brazil,Agriculture Forestry and Other Land Use,Verification approval requested,Point,https://registry.verra.org/app/projectDetail/VCS/1503,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (-62.288229000000001 -8.863412),,
VCS_1532_2026-04-01,VCS,1532,COMACO Landscape Management Project,Zambia,Agriculture Forestry and Other Land Use,Verification approval requested,Point,https://registry.verra.org/app/projectDetail/VCS/1532,REDD/REDD+,project_description: REDD+; project_subcategories: REDD,POINT (33.185848 -11.925421),,
VCS_1541_2026-04-01,VCS,1541,Lacandon – Forest for life REDD+ Project,Guatemala,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1541,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (-90.566631000000001 16.642129000000001),,
VCS_1561_2026-04-01,VCS,1561,Sustainable Forestry Management Plan Capture and Sequestration Carbon,Brazil,Agriculture Forestry and Other Land Use,Under development,Point,https://registry.verra.org/app/projectDetail/VCS/1561,REDD/REDD+,project_subcategories: REDD,POINT (-52.972453000000002 -4.499895),,
VCS_1566_2026-04-01,VCS,1566,REDD+ Project Resguardo Indigena Unificado Selva de Mataven (RIU SM),Colombia,Agriculture Forestry and Other Land Use,Verification approval requested,Point,https://registry.verra.org/app/projectDetail/VCS/1566,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (-68.393332999999998 4.244444),,
VCS_1571_2026-04-01,VCS,1571,Manoa REDD+ Project,Brazil,Agriculture Forestry and Other Land Use,Verification approval requested,Point,https://registry.verra.org/app/projectDetail/VCS/1571,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (-62.534638000000001 -8.995660000000001),,
VCS_1596_2026-04-01,VCS,1596,"The Juma Sustainable Development Reserve Project: Reducing Greenhouse Gas Emissions from Deforestation and Forest Degradation plus forest management in the State of Amazonas, Brazil",Brazil,Agriculture Forestry and Other Land Use,Registration requested,Point,https://registry.verra.org/app/projectDetail/VCS/1596,REDD/REDD+,project_description: REDD+; project_subcategories: REDD,POINT (-60.267794000000002 -5.853733),,
VCS_1622_2026-04-01,VCS,1622,REDD+ Project for Caribbean Guatemala: The Conservation Coast,Guatemala,Agriculture Forestry and Other Land Use,Verification approval requested,Point,https://registry.verra.org/app/projectDetail/VCS/1622,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (-88.891564000000002 15.216831000000001),,
VCS_1650_2026-04-01,VCS,1650,Reduced Emissions from Deforestation and Degradation in Keo Seima Wildlife Sanctuary,Cambodia,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1650,REDD/REDD+,project_description: REDD+; project_subcategories: REDD,POINT (106.684903000000006 12.314823000000001),,
VCS_1654_2026-04-01,VCS,1654,Fortaleza Ituxi REDD Project,Brazil,Agriculture Forestry and Other Land Use,On Hold - see notification letter,Point,https://registry.verra.org/app/projectDetail/VCS/1654,REDD/REDD+,project_name: REDD; project_description: REDD; project_subcategories: REDD,POINT (-66.155054000000007 -8.909852000000001),,
VCS_1657_2026-04-01,VCS,1657,"Grouped Project REDD+ conservation of the Oak ecological corridor Guantiva – La Rusia – Iguaque, Colombia",Colombia,Agriculture Forestry and Other Land Use,Under validation,Point,https://registry.verra.org/app/projectDetail/VCS/1657,REDD/REDD+,project_name: REDD+; project_subcategories: REDD,POINT (-72.955734000000007 6.551636),,
VCS_1672_2026-04-01,VCS,1672,Musokotwane REDD+ Project,Zambia,Agriculture Forestry and Other Land Use,Withdrawn,Point,https://registry.verra.org/app/projectDetail/VCS/1672,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (25.732769999999999 -17.566389000000001),,
VCS_1674_2026-04-01,VCS,1674,Gilé National Reserve REDD Project,Mozambique,Agriculture Forestry and Other Land Use,Late to verify,Point,https://registry.verra.org/app/projectDetail/VCS/1674,REDD/REDD+,project_name: REDD; project_description: REDD; project_subcategories: REDD,POINT (38.276744000000001 -16.539947000000002),,
VCS_1686_2026-04-01,VCS,1686,Agrocortex REDD Project,Brazil,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1686,REDD/REDD+,project_name: REDD; project_description: REDD; project_subcategories: REDD,POINT (-69.069997000000001 -8.44646),,
VCS_1689_2026-04-01,VCS,1689,Tumring REDD+ Project,Cambodia,Agriculture Forestry and Other Land Use,Late to verify,Point,https://registry.verra.org/app/projectDetail/VCS/1689,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (105.428055000000001 12.983651),,
VCS_1695_2026-04-01,VCS,1695,PAYMENT FOR ENVIRONMENTAL SERVICES SCHEME FOR FOREST MANAGEMENT AND CONSERVATION OF WATER SOURCES IN THE JURISDICTION OF CORPOCHIVOR,Colombia,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1695,REDD/REDD+,project_subcategories: REDD,POINT (-73.366905000000003 4.888858),,
VCS_1704_2026-04-01,VCS,1704,"Agricultural Land Management project in Beed District, India implemented by Godrej Properties Ltd.",India,Agriculture Forestry and Other Land Use,Late to verify,Point,https://registry.verra.org/app/projectDetail/VCS/1704,REDD/REDD+,project_subcategories: REDD,POINT (75.467382000000001 19.061066),,
VCS_1711_2026-04-01,VCS,1711,"Agricultural Land Management project in Telangana, India implemented by Godrej Consumer Products Limited",India,Agriculture Forestry and Other Land Use,Withdrawn,Point,https://registry.verra.org/app/projectDetail/VCS/1711,REDD/REDD+,project_subcategories: REDD,POINT (78.816665 17.803056000000002),,
VCS_1743_2026-04-01,VCS,1743,Beampingaratsy REDD Project,Madagascar,Agriculture Forestry and Other Land Use,Registration requested,Point,https://registry.verra.org/app/projectDetail/VCS/1743,REDD/REDD+,project_name: REDD; project_description: REDD; project_subcategories: REDD,POINT (47.058750000000003 -24.157762000000002),,
VCS_1748_2026-04-01,VCS,1748,Southern Cardamom REDD+ Project,Cambodia,Agriculture Forestry and Other Land Use,Verification approval requested,Point,https://registry.verra.org/app/projectDetail/VCS/1748,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (103.503275000000002 11.540589000000001),,
VCS_1765_2026-04-01,VCS,1765,Grouped Project for reducing emissions from deforestation and forest degradation-REDD-in the Regional Natural Park:Biological Corridor PNN Purace-PNN Cueva de los Guacharos,Colombia,Agriculture Forestry and Other Land Use,Verification approval requested,Point,https://registry.verra.org/app/projectDetail/VCS/1765,REDD/REDD+,project_description: REDD; project_subcategories: REDD,POINT (-76.259782000000001 1.764026),,
VCS_1769_2026-04-01,VCS,1769,"Grouped Project for restoration of degraded lands in Jaguar Corridors, Colombia",Colombia,Agriculture Forestry and Other Land Use,Late to verify,Point,https://registry.verra.org/app/projectDetail/VCS/1769,REDD/REDD+,project_subcategories: REDD,POINT (-73.947500000000005 6.313054),,
VCS_1775_2026-04-01,VCS,1775,Luangwa Community Forests Project,Zambia,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1775,REDD/REDD+,project_description: REDD+; project_subcategories: REDD,POINT (29.896999999999998 -15.0395),,
VCS_1799_2026-04-01,VCS,1799,"Forest Management to mitigate climate change in the native community of Bélgica, Madre de Dios Region – Peru",Peru,Agriculture Forestry and Other Land Use,Rejected by Administrator,Point,https://registry.verra.org/app/projectDetail/VCS/1799,REDD/REDD+,project_subcategories: REDD,POINT (-70.001908 -11.101058),,
VCS_1806_2026-04-01,VCS,1806,Riscales REDD+ Project,Colombia,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1806,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (-77.312893000000003 5.690137),,
VCS_1811_2026-04-01,VCS,1811,Jari/Pará REDD+ Project,Brazil,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1811,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (-52.853549000000001 -1.56661),,
VCS_1821_2026-04-01,VCS,1821,Conservación de los Ecosistemas y el Almacén de Carbono Región de Transición Guayano Amazónica 'Flor de Inírida',Colombia,Agriculture Forestry and Other Land Use,Withdrawn,Point,https://registry.verra.org/app/projectDetail/VCS/1821,REDD/REDD+,project_description: REDD+; project_subcategories: REDD,POINT (-69.154694000000006 2.613478),,
VCS_1826_2026-04-01,VCS,1826,Qinghai Afforestation Project,China,Agriculture Forestry and Other Land Use,On Hold - see notification letter,Point,https://registry.verra.org/app/projectDetail/VCS/1826,REDD/REDD+,project_subcategories: REDD,POINT (101.121899999999997 36.448753000000004),,
VCS_1832_2026-04-01,VCS,1832,Haidong Afforestation Project,China,Agriculture Forestry and Other Land Use,On Hold - see notification letter,Point,https://registry.verra.org/app/projectDetail/VCS/1832,REDD/REDD+,project_subcategories: REDD,POINT (102.799029000000004 36.409326),,
VCS_1848_2026-04-01,VCS,1848,"Korea - Myanmar Joint - Bago Region REDD+ Program, with North Zamari Wildlife Sanctuary",Myanmar,Agriculture Forestry and Other Land Use,Registration requested,Point,https://registry.verra.org/app/projectDetail/VCS/1848,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (97.253056000000001 20.497778),,
VCS_1864_2026-04-01,VCS,1864,Puzhen Afforestation Project in Guizhou Province,China,Agriculture Forestry and Other Land Use,Rejected by Administrator,Point,https://registry.verra.org/app/projectDetail/VCS/1864,REDD/REDD+,project_subcategories: REDD,POINT (105.761167 26.203682000000001),,
VCS_1866_2026-04-01,VCS,1866,XinJiang Makit County Afforestation Carbon Sequestration Project,China,Agriculture Forestry and Other Land Use,On Hold - see notification letter,Point,https://registry.verra.org/app/projectDetail/VCS/1866,REDD/REDD+,project_subcategories: REDD,POINT (77.806055000000001 38.858983000000002),,
VCS_1881_2026-04-01,VCS,1881,Conservation of Panama Forests - Reduction of GHG Emissions from Deforestation. Grouped Project,Panama,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1881,REDD/REDD+,project_subcategories: REDD,POINT (-82.629878000000005 9.100438),,
VCS_1882_2026-04-01,VCS,1882,REDD+ PROJECT IN THE ALTO HUAYABAMBA CONSERVATION CONCESSION (CCAH),Peru,Agriculture Forestry and Other Land Use,Verification approval requested,Point,https://registry.verra.org/app/projectDetail/VCS/1882,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (-77.412497000000002 -7.591101),,
VCS_1897_2026-04-01,VCS,1897,Ntakata Mountains REDD,"Tanzania, United Republic of",Agriculture Forestry and Other Land Use,Verification approval requested,Point,https://registry.verra.org/app/projectDetail/VCS/1897,REDD/REDD+,project_name: REDD; project_description: REDD; project_subcategories: REDD,POINT (30.438945 -6.081754),,
VCS_1900_2026-04-01,VCS,1900,Makame Savannah REDD,"Tanzania, United Republic of",Agriculture Forestry and Other Land Use,Verification approval requested,Point,https://registry.verra.org/app/projectDetail/VCS/1900,REDD/REDD+,project_name: REDD; project_description: REDD; project_subcategories: REDD,POINT (36.654932000000002 -4.665142),,
VCS_1953_2026-04-01,VCS,1953,Floresta Verde REDD+ Project,Brazil,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/1953,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (-47.116388000000001 -3.253889),,
VCS_2071_2026-04-01,VCS,2071,"COCOMACIA COMMUNITY REDD+ PROGRAM, CHOCO/ANTIOQUIA COLOMBIA",Colombia,Agriculture Forestry and Other Land Use,Under validation,Point,https://registry.verra.org/app/projectDetail/VCS/2071,REDD/REDD+,project_name: REDD+; project_subcategories: REDD,POINT (-76.804568000000003 6.252258),,
VCS_2084_2026-04-01,VCS,2084,"CONSERVATION PROJECT REDD+ SUR DEL META BOSQUES DE PAZ, SUSTENTO DE VIDA",Colombia,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/2084,REDD/REDD+,project_name: REDD+; project_description: REDD+; project_subcategories: REDD,POINT (-73.208302000000003 2.94206),,
VCS_2177_2026-04-01,VCS,2177,failed,Madagascar,Agriculture Forestry and Other Land Use,Withdrawn,Point,https://registry.verra.org/app/projectDetail/VCS/2177,REDD/REDD+,project_description: REDD+,POINT (58 23.052),,
VCS_2251_2026-04-01,VCS,2251,REDD PROJECT OF THE INDIGENOUS PEOPLES OF VAUPÉS YUTUCU AND OTHERS,Colombia,Agriculture Forestry and Other Land Use,Withdrawn,Point,https://registry.verra.org/app/projectDetail/VCS/2251,REDD/REDD+,project_name: REDD; project_description: REDD+; project_subcategories: REDD,POINT (-70.605547999999999 1.139052),,
VCS_2252_2026-04-01,VCS,2252,Rio Anapu-Pacaja REDD Project,Brazil,Agriculture Forestry and Other Land Use,On Hold - see notification letter,Point,https://registry.verra.org/app/projectDetail/VCS/2252,REDD/REDD+,project_name: REDD; project_description: REDD; project_subcategories: REDD,POINT (-51.092345999999999 -2.47469),,
VCS_2262_2026-04-01,VCS,2262,REDD+ Yaguara Llanos del Yari,Colombia,Agriculture Forestry and Other Land Use,Withdrawn,Point,https://registry.verra.org/app/projectDetail/VCS/2262,REDD/REDD+,project_name: REDD+,POINT (-73.574749 1.761024),POINT (1.761024 -73.574748999999997),longitude_latitude_swapped
VCS_2278_2026-04-01,VCS,2278,The Jaguar Amazon REDD+ Project,Peru,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/2278,REDD/REDD+,project_name: REDD+; project_subcategories: REDD,POINT (-69.629919000000001 -11.541292),,
VCS_2290_2026-04-01,VCS,2290,BLUE CARBON PROJECT GULF OF MORROSQUILLO “VIDA MANGLAR”,Colombia,Agriculture Forestry and Other Land Use,Registered,Point,https://registry.verra.org/app/projectDetail/VCS/2290,REDD/REDD+,project_subcategories: REDD,POINT (-75.725577000000001 9.324177000000001),,
VCS_2293_2026-04-01,VCS,2293,NIHT Topaiyo REDD +,Papua New Guinea,Agriculture Forestry and Other Land Use,Late to verify,Point,https://registry.verra.org/app/projectDetail/VCS/2293,REDD/REDD+,project_name: REDD+; project_subcategories: REDD,POINT (152.681443999999999 -4.334167),,
